"stage","phase","episode","reward","steps","outcome"
"Moving025","before","2","-3.4216","6107","TIMEOUT"
"Moving025","before","3","11.3436","448","CAUGHT"
"Moving025","before","4","10.7966","242","CAUGHT"
"Moving025","before","5","3.3428","6059","TIMEOUT"
"Moving025","before","6","11.1347","404","CAUGHT"
"Moving025","before","7","-1.2022","6021","TIMEOUT"
"Moving025","before","8","7.0395","6019","TIMEOUT"
"Moving025","before","9","11.7005","814","CAUGHT"
"Moving025","before","10","1.6448","6072","TIMEOUT"
"Moving025","before","11","14.439","2341","CAUGHT"
"Moving025","before","12","13.5197","2203","CAUGHT"
"Moving025","before","13","18.4754","4925","CAUGHT"
"Moving025","before","14","11.947","976","CAUGHT"
"Moving025","before","15","-2.1722","5870","TIMEOUT"
"Moving025","before","16","-4.8638","5927","TIMEOUT"
"Moving025","before","17","-5.4733","6079","TIMEOUT"
"Moving025","before","18","-0.08","6092","TIMEOUT"
"Moving025","before","19","2.2597","6098","TIMEOUT"
"Moving025","before","20","10.996","326","CAUGHT"
"Moving025","before","21","11.49","586","CAUGHT"
"Moving025","before","22","11.4809","571","CAUGHT"
"Moving025","before","23","10.9716","312","CAUGHT"
"Moving025","before","24","11.6057","615","CAUGHT"
"Moving025","before","25","5.9103","6139","TIMEOUT"
"Moving025","before","26","5.2679","6205","TIMEOUT"
"Moving025","before","27","11.329","406","CAUGHT"
"Moving025","before","28","11.3252","475","CAUGHT"
"Moving025","before","29","-3.0842","6132","TIMEOUT"
"Moving025","before","30","18.1394","5146","CAUGHT"
"Moving025","before","31","-0.8636","6126","TIMEOUT"
"Moving025","before","32","10.963","290","CAUGHT"
"Moving025","before","33","-0.6835","6059","TIMEOUT"
"Moving025","before","34","11.1741","431","CAUGHT"
"Moving025","before","35","14.1401","2314","CAUGHT"
"Moving025","before","36","11.3717","569","CAUGHT"
"Moving025","before","37","2.4624","6084","TIMEOUT"
"Moving025","before","38","14.5958","2600","CAUGHT"
"Moving025","before","39","5.651","6050","TIMEOUT"
"Moving025","before","40","6.1006","6108","TIMEOUT"
"Moving025","before","41","1.1335","6161","TIMEOUT"
"Moving025","before","42","13.4726","2630","CAUGHT"
"Moving025","before","43","11.4114","426","CAUGHT"
"Moving025","before","44","11.8333","748","CAUGHT"
"Moving025","before","45","11.1297","427","CAUGHT"
"Moving025","before","46","10.8898","299","CAUGHT"
"Moving025","before","47","0.9181","6145","TIMEOUT"
"Moving025","before","48","4.2858","6057","TIMEOUT"
"Moving025","before","49","-3.6663","6002","TIMEOUT"
"Moving025","before","50","2.9399","6121","TIMEOUT"
"Moving025","before","51","11.5023","558","CAUGHT"
"Moving025","before","52","1.7221","6115","TIMEOUT"
"Moving025","before","53","11.3619","472","CAUGHT"
"Moving025","before","54","3.0943","6061","TIMEOUT"
"Moving025","before","55","13.3119","1576","CAUGHT"
"Moving025","before","56","10.8291","276","CAUGHT"
"Moving025","before","57","11.3292","440","CAUGHT"
"Moving025","before","58","4.6629","6076","TIMEOUT"
"Moving025","before","59","11.0894","359","CAUGHT"
"Moving025","before","60","-3.1123","6126","TIMEOUT"
"Moving025","before","61","11.8923","903","CAUGHT"
"Moving025","before","62","11.6854","694","CAUGHT"
"Moving025","before","63","11.576","631","CAUGHT"
"Moving025","before","64","14.9704","3576","CAUGHT"
"Moving025","before","65","11.8992","725","CAUGHT"
"Moving025","before","66","11.5587","536","CAUGHT"
"Moving025","before","67","12.1381","714","CAUGHT"
"Moving025","before","68","4.8898","5490","TIMEOUT"
"Moving025","before","69","0.8112","5230","TIMEOUT"
"Moving025","before","70","11.2871","405","CAUGHT"
"Moving025","before","71","1.8392","5731","TIMEOUT"
"Moving025","before","72","-1.3257","5394","TIMEOUT"
"Moving025","before","73","12.0623","1155","CAUGHT"
"Moving025","before","74","11.405","428","CAUGHT"
"Moving025","before","75","0.8564","5110","TIMEOUT"
"Moving025","before","76","-2.5468","5724","TIMEOUT"
"Moving025","before","77","-1.5842","5490","TIMEOUT"
"Moving025","before","78","17.837","4457","CAUGHT"
"Moving025","before","79","18.3294","4451","CAUGHT"
"Moving025","before","80","19.3068","4337","CAUGHT"
"Moving025","before","81","16.3249","4209","CAUGHT"
"Moving025","before","82","-0.8015","5229","TIMEOUT"
"Moving025","before","83","13.2287","1459","CAUGHT"
"Moving025","before","84","11.4105","477","CAUGHT"
"Moving025","before","85","-4.5055","5554","TIMEOUT"
"Moving025","before","86","5.6285","5633","TIMEOUT"
"Moving025","before","87","10.9523","261","CAUGHT"
"Moving025","before","88","11.6412","699","CAUGHT"
"Moving025","before","89","0.2211","5283","TIMEOUT"
"Moving025","before","90","11.4738","512","CAUGHT"
"Moving025","before","91","13.7705","1703","CAUGHT"
"Moving025","before","92","-0.5451","5326","TIMEOUT"
"Moving025","before","93","0.3205","5717","TIMEOUT"
"Moving025","before","94","1.5709","5683","TIMEOUT"
"Moving025","before","95","11.7121","744","CAUGHT"
"Moving025","before","96","14.3381","2160","CAUGHT"
"Moving025","before","97","3.2364","5648","TIMEOUT"
"Moving025","before","98","5.8578","5244","TIMEOUT"
"Moving025","before","99","-2.2006","5795","TIMEOUT"
"Moving025","before","100","11.0108","307","CAUGHT"
"Moving025","before","101","-5.3029","5362","TIMEOUT"
"Moving025","after","2","10.7714","264","CAUGHT"
"Moving025","after","3","11.8633","805","CAUGHT"
"Moving025","after","4","12.1132","879","CAUGHT"
"Moving025","after","5","11.6672","1464","CAUGHT"
"Moving025","after","6","11.8335","1541","CAUGHT"
"Moving025","after","7","11.9079","909","CAUGHT"
"Moving025","after","8","11.8942","813","CAUGHT"
"Moving025","after","9","11.2145","376","CAUGHT"
"Moving025","after","10","10.7513","271","CAUGHT"
"Moving025","after","11","11.6954","707","CAUGHT"
"Moving025","after","12","11.2323","380","CAUGHT"
"Moving025","after","13","11.4087","483","CAUGHT"
"Moving025","after","14","11.2498","402","CAUGHT"
"Moving025","after","15","12.0726","1663","CAUGHT"
"Moving025","after","16","11.8028","701","CAUGHT"
"Moving025","after","17","11.7626","1405","CAUGHT"
